relation_id,source_product_key,source_product_name,relation_type,target_product_key,target_product_name,relation_label,scenario,evidence_type,evidence_field,evidence_text,evidence_url,confidence,review_status,reviewer,reviewed_at,notes
REL-150578DE318C,HOMEHGFOCARB2B::晚香玉扩香精,晚香玉扩香精,PAIRS_WITH,HOMETB600::大号香氛蜡烛晚香玉,大号香氛蜡烛-晚香玉,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：晚香玉,https://www.diptyque-cn.com/p/tubereuse-tuberose-hourglass-diffuser.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：同属晚香玉系列，扩香精与蜡烛同香型搭配合理。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-1B4FBB254951,HOMEHGFOCARB2A::圣日尔曼大道34号扩香精,圣日尔曼大道34号扩香精,PAIRS_WITH,HOMESCO1::圣日尔曼大道34号室内香氛蜡,圣日尔曼大道34号室内香氛蜡,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：圣日尔曼大道34号,https://www.diptyque-cn.com/p/sablier-34-boulevard-saint-germain-2-1.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：同一已清洗系列圣日尔曼大道34号，扩香精与室内香氛蜡，可作为同香型搭配推荐。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-1E6105A600DE,CANDLEBAIESB1500::超大号香氛蜡烛浆果香,超大号香氛蜡烛-浆果香,PAIRS_WITH,HOMERSP8::浆果香扩香精,浆果香 - 扩香精,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：浆果香,https://www.diptyque-cn.com/p/baies-berries-candle-indoor-outdoor.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：浆果香系列超大号香氛蜡烛与扩香精为同系列不同家居香氛形式，支持同类香型搭配。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-1F5E7DB1A8B9,BODYGEL1::希腊无花果香调洁肤露,希腊无花果香调洁肤露,SCENT_RITUAL_WITH,HAIRMIST7::希腊无花果香调发香喷雾,希腊无花果香调发香喷雾,香气延续,身体护理与个人香氛仪式,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：希腊无花果,https://www.diptyque-cn.com/p/philosykos-cleansing-hand-and-body-gel-1.html,0.78,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：希腊无花果洁肤露与发香喷雾同系列，香材一致，适合香氛仪式。 规则复核：同系列身体护理与个人香氛，模型与结构规则一致。
REL-22FBC30A5B30,CANDLEBAIES::迷你香氛蜡烛浆果香,迷你香氛蜡烛-浆果香,PAIRS_WITH,HOMERSP8::浆果香扩香精,浆果香 - 扩香精,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：浆果香,https://www.diptyque-cn.com/p/baies-berries-small-candle.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：迷你香氛蜡烛与扩香精同属浆果香系列，家居香氛不同形态可搭配作为同香型组合。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-238699D7DB23,HANDCRE2::杜桑护手霜,杜桑护手霜,SCENT_RITUAL_WITH,HAIRMIST4::杜桑发香喷雾,杜桑发香喷雾,香气延续,身体护理与个人香氛仪式,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：杜桑,https://www.diptyque-cn.com/p/do-son-hand-cream-45-ml-1.html,0.78,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：身体护理护手霜与个人香氛发香喷雾同属杜桑系列，香型一致，适合搭配使用。 规则复核：同系列身体护理与个人香氛，模型与结构规则一致。
REL-291E7570EF99,HOMECARDIF6::玫瑰室内喷雾,玫瑰 - 室内喷雾,PAIRS_WITH,HOMESCO4::玫瑰室内香氛蜡,玫瑰室内香氛蜡,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：玫瑰,https://www.diptyque-cn.com/p/roses-room-spray-2.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：玫瑰室内喷雾与玫瑰室内香氛蜡为同一系列，同香型搭配。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-2C9F9E757F23,CANDLE34B600::大号香氛蜡烛圣日尔曼大道34号,大号香氛蜡烛-圣日尔曼大道34号,PAIRS_WITH,HOMERSP1::圣日尔曼大道34号室内喷雾,圣日尔曼大道34号室内喷雾,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：圣日尔曼大道34号,https://www.diptyque-cn.com/p/34-600g.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：同系列不同家居香氛形式，匹配。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-2EFAAEC1F90F,CANDLEBAIESB600::大号香氛蜡烛浆果香,大号香氛蜡烛-浆果香,PAIRS_WITH,HOMESCO2::浆果香室内香氛蜡,浆果香室内香氛蜡,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：浆果香,https://www.diptyque-cn.com/p/berries-candle-600g.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：浆果香蜡烛与室内香氛蜡同属浆果香系列，可作为同香型家居香氛搭配。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-304CC3403DF2,BODYGEL3::肌肤之花洁肤露,肌肤之花洁肤露,SCENT_RITUAL_WITH,EDTFLEUR::肌肤之花淡香水,肌肤之花淡香水,香气延续,身体护理与个人香氛仪式,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：肌肤之花,https://www.diptyque-cn.com/p/fleur-de-peau-cleansing-hand-and-body-gel.html,0.78,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：同系列身体护理与个人香氛，匹配。 规则复核：同系列身体护理与个人香氛，模型与结构规则一致。
REL-3249C75CE657,HOMEHGFOCARB2G::圣日尔曼大道34号香氛皂,圣日尔曼大道34号 - 香氛皂,SCENT_RITUAL_WITH,EDP34BEDP75::圣日尔曼大道34号淡香精,圣日尔曼大道34号淡香精,香气延续,身体护理与个人香氛仪式,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：圣日尔曼大道34号,https://www.diptyque-cn.com/p/savon-34-boulevard-saint-germain-1.html,0.78,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：同系列香型匹配，身体护理与个人香氛可搭配使用。 规则复核：同系列身体护理与个人香氛，模型与结构规则一致。
REL-35A15746D9EB,HOMEREEDREFILL200H::玫瑰香调香氛皂,玫瑰香调 - 香氛皂,SCENT_RITUAL_WITH,EDTROSE::玫瑰香调淡香水,玫瑰香调淡香水,香气延续,身体护理与个人香氛仪式,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：玫瑰香调,https://www.diptyque-cn.com/p/eau-rose-perfumed-soap.html,0.78,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：同一已清洗系列'玫瑰香调'，香调匹配，香氛皂与淡香水互补，符合政策。 规则复核：同系列身体护理与个人香氛，模型与结构规则一致。
REL-3877C877BCB5,CANDLEBAIESBN2::中号香氛蜡烛浆果香,中号香氛蜡烛-浆果香,PAIRS_WITH,HOMERSP::浆果香室内喷雾,浆果香 - 室内喷雾,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：浆果香,https://www.diptyque-cn.com/p/bougie-baie-berries-remavp.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：均为浆果香系列家居香氛，蜡烛与室内喷雾可搭配使用，属同一气味非官方配对。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-3F42A6AAFE17,BODYGEL3::肌肤之花洁肤露,肌肤之花洁肤露,SCENT_RITUAL_WITH,HAIRMIST::肌肤之花发香喷雾,肌肤之花发香喷雾,香气延续,身体护理与个人香氛仪式,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：肌肤之花,https://www.diptyque-cn.com/p/fleur-de-peau-cleansing-hand-and-body-gel.html,0.78,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：肌肤之花洁肤露与发香喷雾同系列香材互补，气味协调。 规则复核：同系列身体护理与个人香氛，模型与结构规则一致。
REL-3F6CFE8B9DB9,BODYLOTIONS2::晚香玉室内喷雾,晚香玉 - 室内喷雾,PAIRS_WITH,CANDLETB::迷你香氛蜡烛晚香玉,迷你香氛蜡烛-晚香玉,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：晚香玉,https://www.diptyque-cn.com/p/tubereuse-tuberose-room-spray.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：晚香玉系列室内喷雾与迷你香氛蜡烛为同系列不同家居香氛形式，支持同类香型搭配。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-42FE76D8C47E,CANDLEMI::迷你香氛蜡烛含羞草,迷你香氛蜡烛-含羞草,PAIRS_WITH,HOMERSP9::含羞草扩香精,含羞草 - 扩香精,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：含羞草,https://www.diptyque-cn.com/p/petite-bougie-mimosa-1.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：同清洁系列含羞草不同家居香氛形式，符合同系列配对政策。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-4437F8CE1756,BODYLOTIONS1::杜桑香氛润肤乳,杜桑香氛润肤乳,SCENT_RITUAL_WITH,HAIRMIST4::杜桑发香喷雾,杜桑发香喷雾,香气延续,身体护理与个人香氛仪式,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：杜桑,https://www.diptyque-cn.com/p/doson-hand-and-body-lotion-1.html,0.78,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：身体护理润肤乳与个人香氛发香喷雾同属杜桑系列，香型一致，适合搭配使用。 规则复核：同系列身体护理与个人香氛，模型与结构规则一致。
REL-446CAABE1D20,concept::身体护理::润肤乳::肌肤之花润肤乳,肌肤之花润肤乳,SCENT_RITUAL_WITH,DIPXM25LARGEEDPFL::典藏版肌肤之花淡香精,典藏版肌肤之花淡香精,香气延续,身体护理与个人香氛仪式,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：肌肤之花,https://www.diptyque-cn.com/p/fleur-de-peau-hand-and-body-lotion-1.html,0.78,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：肌肤之花润肤乳与典藏版淡香精气味一致，适合仪式搭配。 规则复核：同系列身体护理与个人香氛，模型与结构规则一致。
REL-45FA222ED496,CANDLEBAIESBN2::中号香氛蜡烛浆果香,中号香氛蜡烛-浆果香,PAIRS_WITH,HOMESCO2::浆果香室内香氛蜡,浆果香室内香氛蜡,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：浆果香,https://www.diptyque-cn.com/p/bougie-baie-berries-remavp.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：均为浆果香系列家居香氛，蜡烛与室内香氛蜡可搭配使用，属同一气味非官方配对。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-46C474A05406,HOMERSP1::圣日尔曼大道34号室内喷雾,圣日尔曼大道34号室内喷雾,PAIRS_WITH,HOMESCO1::圣日尔曼大道34号室内香氛蜡,圣日尔曼大道34号室内香氛蜡,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：圣日尔曼大道34号,https://www.diptyque-cn.com/p/34-boulevard-saint-germain-room-spray-1.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：同一已清洗系列圣日尔曼大道34号，室内喷雾与室内香氛蜡，可作为同香型搭配推荐。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-51A80BB666F4,HANDCRE4::肌肤之花护手霜,肌肤之花护手霜,SCENT_RITUAL_WITH,DIPXM25LARGEEDPFL::典藏版肌肤之花淡香精,典藏版肌肤之花淡香精,香气延续,身体护理与个人香氛仪式,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：肌肤之花,https://www.diptyque-cn.com/p/fleur-de-peau-hand-cream-45-ml-1.html,0.78,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：同一已清洗系列'肌肤之花'，香调匹配，护手霜与淡香精互补，符合政策。 规则复核：同系列身体护理与个人香氛，模型与结构规则一致。
REL-537286F3EAA3,HOMEHGFOCARB2H::感官之水香氛皂,感官之水 - 香氛皂,SCENT_RITUAL_WITH,HAIRMIST2::感官之水发香喷雾,感官之水发香喷雾,香气延续,身体护理与个人香氛仪式,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：感官之水,https://www.diptyque-cn.com/p/eau-des-sens.html,0.78,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：身体护理香氛皂与个人香氛发香喷雾同属感官之水系列，香型一致，适合搭配使用。 规则复核：同系列身体护理与个人香氛，模型与结构规则一致。
REL-55547E0EC157,CANDLEABA2::中号香氛蜡烛琥珀,中号香氛蜡烛-琥珀,PAIRS_WITH,HOMERSP::琥珀室内喷雾,琥珀 - 室内喷雾,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：琥珀,https://www.diptyque-cn.com/p/amber-candle-300-remavp.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：均为琥珀系列家居香氛，蜡烛与室内喷雾可搭配使用，属同一气味非官方配对。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-58EBEADCDACE,CANDLETB1500::超大号香氛蜡烛晚香玉,超大号香氛蜡烛-晚香玉,PAIRS_WITH,HOMEHGFOCARB2B::晚香玉扩香精,晚香玉扩香精,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：晚香玉,https://www.diptyque-cn.com/p/tubereuse-tuberose-interior-exterior-candle.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：晚香玉系列超大号香氛蜡烛与扩香精为同系列不同家居香氛形式，支持同类香型搭配。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-5C72A35332EC,CANDLEBAIESB600::大号香氛蜡烛浆果香,大号香氛蜡烛-浆果香,PAIRS_WITH,HOMERSP8::浆果香扩香精,浆果香 - 扩香精,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：浆果香,https://www.diptyque-cn.com/p/berries-candle-600g.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：浆果香蜡烛与扩香精同属浆果香系列，可作为同香型家居香氛搭配。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-6149EB5CACF5,BODYOIL::杜桑柔肤沐浴油,杜桑柔肤沐浴油,SCENT_RITUAL_WITH,HAIRMIST4::杜桑发香喷雾,杜桑发香喷雾,香气延续,身体护理与个人香氛仪式,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：杜桑,https://www.diptyque-cn.com/p/do-son-shower-oil-1.html,0.78,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：身体护理沐浴油与个人香氛发香喷雾同属杜桑系列，香型一致，适合搭配使用。 规则复核：同系列身体护理与个人香氛，模型与结构规则一致。
REL-62EA121A98EF,BODYLOTIONS3::橙花室内喷雾,橙花 - 室内喷雾,PAIRS_WITH,HOMEHGFOCARB2E::橙花扩香精,橙花扩香精,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：橙花,https://www.diptyque-cn.com/p/fleur-d-oranger-orange-blossom-room-spray.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：橙花室内喷雾与橙花扩香精为同一系列，可作为同香型搭配。 规则复核：同系列且不同香气载体，作为策展搭配发布。
REL-6356160BDE22,CANDLEMI::香氛蜡烛含羞草,香氛蜡烛-含羞草,PAIRS_WITH,HOMERSP3::含羞草室内喷雾,含羞草室内喷雾,搭配,同系列香气或同设计搭配,normalized_collection+curatorial_rule+model_review+codex_rule_gate,collection_or_scent,同一已清洗系列：含羞草,https://www.diptyque-cn.com/p/mimosa-candle-1-remavp.html,0.80,approved,codex_model_assisted_review,2026-07-27,策展推荐，不代表品牌点名该具体组合。模型初审理由：同清洁系列含羞草不同家居香氛形式，符合同系列配对政策。 规则复核：同系列且不同香气载体，作为策展搭配发布。
