"compatibility_id","source_product_key","source_product_name","relation_type","spec_type","spec_value","spec_label","scenario","evidence_type","evidence_field","evidence_text","evidence_url","confidence","review_status","reviewer","reviewed_at","notes"
"SPEC-F0119567F105","DECO00845::水墨画烛台","水墨画烛台","ACCESSORY_FOR_SPEC","candle_weight","300g","300g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：300g蜡烛 材质：陶瓷 重量：170g 尺寸：直径11.54cm","https://www.diptyque-cn.com/p/landscape-stand-300g-candle-deco00845.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-AAA8B0137AE8","DECO00846::水墨画陶瓷烛盖M","水墨画陶瓷烛盖 M","ACCESSORY_FOR_SPEC","candle_weight","300g","300g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：300g蜡烛 材质：陶瓷 重量：70g 尺寸：直径9cm / 高4cm","https://www.diptyque-cn.com/p/lanscape-lid-300g-candle-deco00846.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-8AF164BE06AF","DECODECO01622::水墨画陶瓷烛盖S","水墨画陶瓷烛盖 S","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","sizes","搭配190g蜡烛","https://www.diptyque-cn.com/p/deco01622-deco.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-843986DE401F","S2024DECO01385::灯笼玻璃烛罩","灯笼玻璃烛罩","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：190g或300g蜡烛 材质：硼矽玻璃，不锈钢 重量：1528g 尺寸：高46cm / 直径16cm","https://www.diptyque-cn.com/p/traveling-lantern-for-classic-and-medium-candles-deco01385.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-BC166B9A9C82","S2024DECO01385::灯笼玻璃烛罩","灯笼玻璃烛罩","ACCESSORY_FOR_SPEC","candle_weight","300g","300g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：190g或300g蜡烛 材质：硼矽玻璃，不锈钢 重量：1528g 尺寸：高46cm / 直径16cm","https://www.diptyque-cn.com/p/traveling-lantern-for-classic-and-medium-candles-deco01385.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-E5FD191067F8","DECODECO01188::白色融蜡陶瓷烛罩","白色融蜡陶瓷烛罩","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：190g蜡烛 材质：利摩日陶瓷 重量：500g 尺寸：直径9.5cm","https://www.diptyque-cn.com/p/white-melted-wax-candle-holder-deco01188.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-0FC88CC8D046","DECODECO01377::白色金字塔玻璃烛罩","白色金字塔玻璃烛罩","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：190g蜡烛 材质：硼硅盐酸玻璃 重量：370g 尺寸：直径 11.5cm / 高 14.5cm","https://www.diptyque-cn.com/p/white-pyramid-candle-holder-for-classic-candles-deco01377.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-DE1602DFAD62","DECODECO01649::白色金字塔陶瓷烛台","白色金字塔陶瓷烛台","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","sizes","搭配190g蜡烛","https://www.diptyque-cn.com/p/deco-deco01649-pdp.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-F37942B24B96","DECOCANASS04::竖纹玻璃烛罩","竖纹玻璃烛罩","ACCESSORY_FOR_SPEC","candle_weight","300g","300g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：300g蜡烛及600g蜡烛 材质：硼硅玻璃 重量：980g 尺寸：高4.5cm/宽14.5cm","https://www.diptyque-cn.com/p/indoor-outdoor-xxl-candle-holder.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-0AAD36556DED","DECOCANASS04::竖纹玻璃烛罩","竖纹玻璃烛罩","ACCESSORY_FOR_SPEC","candle_weight","600g","600g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：300g蜡烛及600g蜡烛 材质：硼硅玻璃 重量：980g 尺寸：高4.5cm/宽14.5cm","https://www.diptyque-cn.com/p/indoor-outdoor-xxl-candle-holder.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-EB556589E550","DECOCANASS03::竖纹玻璃烛罩L","竖纹玻璃烛罩 L","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：190g蜡烛 材质：硼硅玻璃，胶木底座 重量：461g 尺寸：直径8cm / 高14cm","https://www.diptyque-cn.com/p/large-photophore-coast.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-1EFC46A9AFF4","DECOCANASS01::竖纹玻璃烛罩Mini","竖纹玻璃烛罩 Mini","ACCESSORY_FOR_SPEC","candle_weight","35g","35g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：35g蜡烛 材质：硼矽玻璃和胶木底座 重量：163g 尺寸：高8.5cm / 直径6.1cm","https://www.diptyque-cn.com/p/ribbed-candle-holder-for-mini-candles-deco01387.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-B9419D6722BC","DECOCANASS02::竖纹玻璃烛罩S","竖纹玻璃烛罩 S","ACCESSORY_FOR_SPEC","candle_weight","70g","70g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：70g蜡烛 材质：硼硅玻璃，胶木底座 重量：240g 尺寸：直径7cm / 高11cm","https://www.diptyque-cn.com/p/photophore-cote.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-25BBC036926B","DECODECO01651::竖纹玻璃烛罩配白色椭圆托盘","竖纹玻璃烛罩配白色椭圆托盘","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","sizes","搭配190g蜡烛","https://www.diptyque-cn.com/p/deco01651-pdp.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-E373497BBAFE","DIPXM25DECO01647::融蜡造型烛台","融蜡造型烛台","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","detailed_description","搭配190g蜡烛","https://www.diptyque-cn.com/p/holiday-shell-stand-for-candles.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-52DC2E232DC8","DECORATIONBZHOLDLENS::螺旋玻璃烛罩","螺旋玻璃烛罩","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：190g蜡烛 材质：玻璃 重量：470g 尺寸：直径10cm / 高17cm","https://www.diptyque-cn.com/p/fresnel-candle-holder.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-CECBE68A6C12","DECODECO01285::象棋造型烛台L","象棋造型烛台 L","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：190g蜡烛 材质：蜡质 重量：980g 尺寸：高26 cm / 直径8cm","https://www.diptyque-cn.com/p/chess-candle-holder-l-for-classic-candle-deco01285.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-CA90361BBB61","DECODECO01284::象棋造型烛台M","象棋造型烛台 M","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：190g蜡烛 材质：蜡质 重量：735g 尺寸：高18 cm / 直径8cm","https://www.diptyque-cn.com/p/chess-candle-holder-m-for-classic-candle-deco01285.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-94FE1D52D126","DECODECO01283::象棋造型烛台S","象棋造型烛台 S","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：190g蜡烛 材质：蜡质 重量：395g 尺寸：高11 cm / 直径8cm","https://www.diptyque-cn.com/p/chess-candle-holder-s-for-classic-candle-deco01283.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-B0E80B0C3147","Dip2022102028::金字塔玻璃烛罩","金字塔玻璃烛罩","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：190g蜡烛 材质：硼硅玻璃 重量：370g 尺寸：直径11.5cm / 高14.5cm","https://www.diptyque-cn.com/p/gold-pyramid-candle-holder-deco01070.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-87AD3BDFA0B6","Dip2023DECO01305::金色融蜡陶瓷烛罩","金色融蜡陶瓷烛罩","ACCESSORY_FOR_SPEC","candle_weight","190g","190g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：190g蜡烛 重量：460g 材质：利摩日陶瓷 尺寸：直径11cm / 高10cm","https://www.diptyque-cn.com/p/gold-melted-wax-candle-holder-for-classic-candle-deco01305.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-AB41D5021E08","S2024DECO01388::黑色金字塔陶瓷烛盖","黑色金字塔陶瓷烛盖","ACCESSORY_FOR_SPEC","candle_weight","1500g","1500g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","搭配：1500g蜡烛 材质：陶瓷 重量：256g 尺寸：高4.5cm / 直径16.5cm","https://www.diptyque-cn.com/p/pyramid-lid-for-extra-large-candles-deco01388.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-6271E0B0D181","DECODECO01425::黑色顶冠木质烛盖L","黑色顶冠木质烛盖 L","ACCESSORY_FOR_SPEC","candle_weight","600g","600g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","-搭配：600g香氛蜡烛 -材质：白蜡木 -尺寸：高13厘米/直径11.5厘米 -重量：260克 -产地：法国","https://www.diptyque-cn.com/p/black-abacus-lid-for-classic-candle-600.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-FBFDEFA02C68","DECODECO01424::黑色顶冠木质烛盖M","黑色顶冠木质烛盖 M","ACCESSORY_FOR_SPEC","candle_weight","300g","300g蜡烛","蜡烛陈设与使用","official_product_copy","caracteristics_text","-搭配：300g香氛蜡烛 -材质：白蜡木 -尺寸：高12厘米/直径9厘米 -重量：180克 -产地：法国","https://www.diptyque-cn.com/p/black-abacus-lid-for-classic-candle-300.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方商品文案明确给出兼容蜡烛规格，且规格数字已与配件自身重量字段隔离。"
"SPEC-271E9B6528A0","DECODECO01369A::椭圆香皂托盘","椭圆香皂托盘","ACCESSORY_FOR_SPEC","product_form","香氛皂","香氛皂","香氛皂陈设与使用","official_product_copy","pdp_long_description","Diptyque椭圆标志以立体的形式呈现出来，融合简约风格与精湛手工艺，是香氛皂的理想伴侣。","https://www.diptyque-cn.com/p/soap-holder-ovale-deco01370.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方文案明确说明该托盘适用于香氛皂；原始数据中存在对应品型商品。"
"SPEC-E11A4E10B430","DECOPAINT01617::水墨画陶瓷托盘","水墨画陶瓷托盘","ACCESSORY_FOR_SPEC","product_class","fragrance_candle","室内香氛蜡烛","香氛蜡烛与扩香陈设","official_product_copy","pdp_short_description","图纹样式及色调随机，各不相同。可搭配室内扩香摆件100ML、200ML，亦可搭配不同规格室内香氛蜡烛。","https://www.diptyque-cn.com/p/deco01617-home-fragrance-diffuser-refill.html","0.95","approved","codex_ontology_review","2026-07-22","审核通过：官方文案明确允许搭配不同规格室内香氛蜡烛；原始数据中存在对应商品。"
